"Species code","Species name","Province","Zone","Year","Annual age ratio"
"1290","Common Merganser","Ontario","1","2008",""
"1290","Common Merganser","Ontario","2","2008",""
"1290","Common Merganser","Ontario","3","2008",""
"1290","Common Merganser","Prince Edward Island","1","2008",""
"1290","Common Merganser","Quebec","1","2008",""
"1290","Common Merganser","Quebec","2","2008",""
"1290","Common Merganser","Newfoundland and Labrador","1","2009",""
"1290","Common Merganser","Nova Scotia","1","2009",""
"1290","Common Merganser","Nova Scotia","2","2009",""
"1290","Common Merganser","Ontario","1","2009",""
"1290","Common Merganser","Ontario","2","2009",""
"1290","Common Merganser","Ontario","3","2009",""
"1290","Common Merganser","Prince Edward Island","1","2009",""
"1290","Common Merganser","Quebec","1","2009",""
"1290","Common Merganser","Quebec","2","2009",""
"1290","Common Merganser","New Brunswick","1","2010",""
"1290","Common Merganser","Newfoundland and Labrador","1","2010",""
"1290","Common Merganser","Newfoundland and Labrador","2","2010",""
"1290","Common Merganser","Nova Scotia","1","2010",""
"1290","Common Merganser","Nova Scotia","2","2010",""
"1290","Common Merganser","Ontario","2","2010",""
"1290","Common Merganser","Quebec","1","2010",""
"1290","Common Merganser","Quebec","2","2010",""
