"Species code","Species name","Province","Zone","Year","Estimate","± 1 standard error"
"1290","Common Merganser","Newfoundland and Labrador","2","1997","464","438"
"1290","Common Merganser","Nova Scotia","1","1997","653","845"
"1290","Common Merganser","Nova Scotia","2","1997","1434","914"
"1290","Common Merganser","Ontario","1","1997","174","174"
"1290","Common Merganser","Ontario","2","1997","2049","827"
"1290","Common Merganser","Ontario","3","1997","81","104"
"1290","Common Merganser","Quebec","1","1997","4490","947"
"1290","Common Merganser","Quebec","2","1997","1486","629"
"1290","Common Merganser","British Columbia","2","1998","82","101"
"1290","Common Merganser","Newfoundland and Labrador","1","1998","3730","708"
"1290","Common Merganser","Newfoundland and Labrador","2","1998","290","219"
"1290","Common Merganser","Nova Scotia","1","1998","525","228"
"1290","Common Merganser","Nova Scotia","2","1998","1873","909"
"1290","Common Merganser","Ontario","1","1998","75","96"
"1290","Common Merganser","Ontario","2","1998","1898","483"
"1290","Common Merganser","Ontario","3","1998","235","248"
"1290","Common Merganser","Quebec","1","1998","2479","592"
"1290","Common Merganser","Quebec","2","1998","1372","466"
"1290","Common Merganser","New Brunswick","2","1999","155","126"
"1290","Common Merganser","Newfoundland and Labrador","1","1999","2092","697"
"1290","Common Merganser","Newfoundland and Labrador","2","1999","488","381"
"1290","Common Merganser","Nova Scotia","1","1999","526","448"
"1290","Common Merganser","Nova Scotia","2","1999","138","201"
"1290","Common Merganser","Ontario","1","1999","307","144"
"1290","Common Merganser","Ontario","2","1999","1569","364"
"1290","Common Merganser","Ontario","3","1999","275","223"
"1290","Common Merganser","Quebec","1","1999","2568","612"
"1290","Common Merganser","Quebec","2","1999","1804","332"
"1290","Common Merganser","British Columbia","2","2000","36","0"
"1290","Common Merganser","New Brunswick","2","2000","90","144"
"1290","Common Merganser","Newfoundland and Labrador","1","2000","3059","783"
"1290","Common Merganser","Newfoundland and Labrador","2","2000","25","37"
"1290","Common Merganser","Nova Scotia","1","2000","239","0"
"1290","Common Merganser","Nova Scotia","2","2000","129","0"
"1290","Common Merganser","Ontario","1","2000","382","85"
"1290","Common Merganser","Ontario","2","2000","584","278"
"1290","Common Merganser","Ontario","3","2000","249","139"
"1290","Common Merganser","Prince Edward Island","1","2000","309","0"
"1290","Common Merganser","Quebec","1","2000","2137","403"
"1290","Common Merganser","Quebec","2","2000","769","474"
"1290","Common Merganser","New Brunswick","1","2001","185","0"
"1290","Common Merganser","New Brunswick","2","2001","187","0"
"1290","Common Merganser","Newfoundland and Labrador","1","2001","3270","900"
"1290","Common Merganser","Nova Scotia","1","2001","180","0"
"1290","Common Merganser","Nova Scotia","2","2001","511","210"
"1290","Common Merganser","Ontario","2","2001","809","263"
"1290","Common Merganser","Ontario","3","2001","278","187"
