"Variable code","Variable name","Province","Zone","Citizenship","Year","Estimate","± 1 standard error"
"ACTIOT","Active non-waterfowl hunters","Quebec","2","All hunters","1985","2078","224"
"ACTIOT","Active non-waterfowl hunters","Saskatchewan","1","All hunters","1985","1654","223"
"ACTIOT","Active non-waterfowl hunters","Saskatchewan","2","All hunters","1985","837","154"
"ACTIOT","Active non-waterfowl hunters","Saskatchewan","3","All hunters","1985","1991","239"
"ACTIOT","Active non-waterfowl hunters","Yukon Territory","1","All hunters","1985","36","31"
"ACTIOT","Active non-waterfowl hunters","Alberta","1","All hunters","1986","1720","169"
"ACTIOT","Active non-waterfowl hunters","Alberta","2","All hunters","1986","2099","217"
"ACTIOT","Active non-waterfowl hunters","British Columbia","1","All hunters","1986","751","162"
"ACTIOT","Active non-waterfowl hunters","British Columbia","2","All hunters","1986","996","121"
"ACTIOT","Active non-waterfowl hunters","Manitoba","1","All hunters","1986","2966","295"
"ACTIOT","Active non-waterfowl hunters","Manitoba","2","All hunters","1986","680","122"
"ACTIOT","Active non-waterfowl hunters","New Brunswick","1","All hunters","1986","1090","169"
"ACTIOT","Active non-waterfowl hunters","New Brunswick","2","All hunters","1986","467","139"
"ACTIOT","Active non-waterfowl hunters","Newfoundland and Labrador","1","All hunters","1986","4483","338"
"ACTIOT","Active non-waterfowl hunters","Newfoundland and Labrador","2","All hunters","1986","630","113"
"ACTIOT","Active non-waterfowl hunters","Nova Scotia","1","All hunters","1986","1586","151"
"ACTIOT","Active non-waterfowl hunters","Nova Scotia","2","All hunters","1986","805","123"
"ACTIOT","Active non-waterfowl hunters","Northwest Territories","1","All hunters","1986","41","32"
"ACTIOT","Active non-waterfowl hunters","Ontario","1","All hunters","1986","5932","418"
"ACTIOT","Active non-waterfowl hunters","Ontario","2","All hunters","1986","11406","532"
"ACTIOT","Active non-waterfowl hunters","Ontario","3","All hunters","1986","3235","279"
"ACTIOT","Active non-waterfowl hunters","Prince Edward Island","1","All hunters","1986","501","126"
"ACTIOT","Active non-waterfowl hunters","Quebec","1","All hunters","1986","10680","499"
"ACTIOT","Active non-waterfowl hunters","Quebec","2","All hunters","1986","2131","205"
